...1,id,reference,description,intern_A,intern_B,verdict
388,388,2013-246,"YEMEN: On 01 August, an underway LPG tanker experienced a suspicious approach by two skiffs in vicinity of 13-40N 042-39E, near the Jazirat Hanisha Al Kabir Island when a Yemeni-style skiff shadowed the vessel at a distance of 1 nm while another approached the  vessel at 15 knots. When the armed embarked security team displayed their weapons, the skiffs changed course and stopped their pursuit.",keep,exclude,
400,400,2012-209,"NIGERIA: Container ship awaiting berthing instructions was approached on 30 June at 02-38N 006-09E by five armed pirates in a wooden speed boat with two outboard engines. The fired upon the vessel, damaging some bridge windows and equipment. The vessel raised the alarm, activated SSAS, started the main engines and maneuvered away from the approaching boat. Non-essential crew retreated into the citadel. All crew was reported unharmed.",exclude,keep,
401,401,2012-210,"TANZANIA: Container ship boarded on 3 July at 6-50S 039-17E, at Dar Es Salaam. Robbers boarded the berthed vessel, stole ships stores and escaped unnoticed. The theft was later noticed by the duty A/B while on rounds. The incident was reported to Port Security.",keep,exclude,
407,407,2013-60,"OMAN: On 31 January, the tanker MEGACORE PANTHEA experienced a suspicious approach in the vicinity of 21-23N 059-59E, approximately 33 nm East of Ash Sharqiyah. Vessel sighted a white skiff 3 miles off the starboard quarter. Skiff was proceeding in the same direction of the vessel with speed up to 25 knots. Ship security guards and crew put on high alert. Speed increased to maximum and evasive maneuvers taken. The skiff maintained this position for 30 minutes, until suddenly altering course towards the vessel and crossed behind at a distance of 1.7 nm. Skiff maintained position on port quarter until altering to a westerly course and proceeded at high speed. A second skiff was later sighted 7 miles off the starboard quarter. No close approach was made. Photographs taken by a high-resolution camera show two men aboard the skiff wearing head gear.",keep,exclude,
422,422,2013-256,"NIGERIA: On 15 August, the Nigeria-flagged product tanker NORTE was boarded in the Gulf of Guinea. On 17 August, the vessel was reportedly chased by vessels from the Nigerian Navy; to include two Navy ships of destroyer-size, 6 gun boats, and patrol plane from the Nigerian Air Force. The Nigerian forces surrounded the tanker in the Niger Delta region. The pirates attempted to flee the tanker when night fell, but were intercepted. During the ensuing gun battle 12 pirates were killed and 4 were captured. No details on the fate of the crew were given. The tanker is presently anchored in Lagos.",exclude,keep,
427,427,2013-261,"BANGLADESH: On 15 August, a fishing trawler was hijacked, along with the kidnapping of 15 fishermen along the Meghna River. A gang of pirates attacked three trawlers in the Talia Char area. When the fishermen tried to resist the bandits, they opened fire, injuring one man. The pirates looted valuables from the trawlers and kidnapped the 15 fishermen onboard.",exclude,keep,
431,431,2013-265,"INDONESIA: On 23 August, the Philippines-flagged berthed live stock carrier BRAHMAN EXPRESS was boarded in the vicinity of 03-47N 098-42E, at the Belawan Port. Three robbers, in a motor boat, approached a berthed live stock carrier. Two robbers boarded the ship, while the other robber remained in the boat. The duty crew noticed that the robbers were  stealing ship¿s properties and reported it to the duty officer who then raised the alarm and alerted the crew. Upon seeing the crew¿s alertness, the robbers escaped with the stolen properties. The incident was reported to Belawan Port Authority, which dispatched a coast guard patrol boat to investigate.",exclude,keep,
445,445,2012-218,"MOZAMBIQUE: Robbers boarded a container vessel at berth, stole ship's stores and escaped unnoticed.  Master informed port authorities and local agent. All crew safe.",keep,exclude,
456,456,2013-75,"EGYPT: On 26 March, a berthed container ship was boarded at 31-14N 032-18E, at the Port Said West Terminal. Six robbers in a boat armed with knives came alongside. Four robbers boarded the vessel and injured an onboard security guard. The robbers stole ship's stores and transferred them into their boat. The incident was reported to the local police.",keep,exclude,
458,458,2013-77,"TANZANIA: On 24 March, the berthed container ship JPO SAGITTARIUS was boarded at 06-50S 039-17E, at the Dar es Salaam Port, Berth No. 11. A robber boarded the vessel via the forward mooring ropes. The duty A/B noticed the robber, who threatened the A/B with a long knife. The A/B then immediately ran away and reported to a shore security officer who raised alarm and informed the port control. Upon hearing the alarm and seeing the crew's alertness, the robber jumped overboard and escaped empty-handed in his boat. Shore security guards came onboard to investigate the incident.",exclude,keep,
475,475,2013-276,"INDONESIA: On 16 September, a berthed chemical tanker FEN was boarded by a single robber at position 07-09S 112-40E, Gresik Port. The robber boarded the ship while the crew was busy connecting the cargo hoses. The robber broke into the paint store and stole ship's  stores. Duty crewman noticed the robber and informed the duty officer who raised the alarm and mustered the crew. Upon hearing the alarm, the robber escaped with the stolen stores in a boat.",exclude,keep,
491,491,2012-227,"EGYPT: Bulk carrier was robbed on 21 July at 31-09N 029-48E, El Dekheila Port. Six robbers in two boats approached the berthed vesel during cargo operations. Without boarding, the robbers cut and escaped with four mooring line eyes. The vessel remained alongside and the crewmembers were able to re-moor the vessel. Port authorities were informed.",keep,exclude,
496,496,2012-232,"INDONESIA: Chemical tanker boarded on 28 July at 07-11S 112-43E, Tanjung Perak Port, Surabaya. Two robbers armed with knives boarded the berthed vessel and stole ship's property. Later, the crew found the robbers and recovered the stolen items.",exclude,keep,
509,509,2013-90,MALDIVES: Vessel SEA PIONEER reported possible mothership activity in 07-40.1N 074-14.5E.,exclude,keep,
515,515,2013-96,"INDONESIA: On 03 April, four men in a small boat approached the anchored chemical tanker IVER EXACT at 01-42N 101-25E, at the Dumai Anchorage. Upon detecting the boat, the duty officer shouted at them using loudhailer and flashed a light. The watchman blew ship's horn. The pirates fled the area.",keep,exclude,
525,525,2013-285,"GRENADA: On 6 October between 0145 and 0430, perpetrator(s) boarded sailing vessel SOULMATIE in Prickly Bay by Calabash beach. The owners were not present when the incident occurred, but found the perpetrator(s) forced open the locked companionway and stole cash and most of the loose electronics.",keep,exclude,
526,526,2013-286,"ST. VINCENT AND THE GRENADINES: On 3 October at 2040, a group of men with machetes boarded sailing vessel RAINBOW off Union Island at Frigate Island. They attacked the two people onboard; one of whom fought off the attackers. Local rescue, Coast Guard, and police were able to respond and had an ambulance waiting for their medical care.",keep,exclude,
551,551,2012-247,"INDONESIA: Tug boarded on 23 July at 01-14N 103-0 E, Singapore Strait. An unknown number of robbers boarded the vessel.",keep,exclude,
559,559,2013-99,"ECUADOR: On 14 April, a cargo ship under pilotage was boarded at 02-18S 079-55W, at Guayaquil. A group of armed robbers in a boat approached and boarded a container ship departing from the berth. The alarm was raised and the crew mustered in the accommodation area and locked all the doors. The Chief Security Officer contacted the IMB Piracy Reporting Centre and requested assistance. The Centre contacted the Ecuador Maritime Authorities and a coast guard patrol boat was sent to the location. On arrival it was found that the robbers had left the vessel. All crew safe. The vessel continued her passage under pilotage with the patrol boat.",exclude,keep,
563,563,2013-103,"INDONESIA: On 13 April, the berthed bulk carrier DENSA JAGUAR was boarded at 07-05S 112-39E, at the Surabaya Port. Three robbers in a small boat armed with long knives approached the berthed ship. Duty A/B noticed the robbers, informed the D/O and retreated into the accommodation. Alarm raised and crew mustered. Seeing the crew alertness, the robbers  escaped without stealing anything. Incident reported to port control. Deck patrols increased.",exclude,keep,
578,578,2013-299,"MOZAMBIQUE: On 15 October at 2050 local time, three robbers with knives approached a berthed container ship in a small wooden boat near position 19-49S 034-50E, Berth Number Five in Beira Port. One of the robbers boarded the ship and was noticed. The alarm was raised and the crew mustered. The robber jumped overboard with some ship stores and escaped in their boat. The port authority was informed.",keep,exclude,
582,582,2012-47,"POINT NOIRE ANCHORAGE, THE CONGO: Duty watch onboard an anchored container ship noticed wet foot prints on the deck and the padlock to the bowthruster room broken. He informed the OOW who noticed a small boat alongside the vessel near the starboard midship. OOW raised the alarm and crew mustered. Upon inspection a number of stores were found broken into and ship's stores and equipment stolen. Master contacted port control but did not receive any response.",keep,exclude,
589,589,2012-54,"GHANA:  Offshore tug boarded by four robbers on 9 February while berthed at position 04-53N 001-45W, Takoradi Port. The robbers, armed with long knives, threatened duty watchman and stole ship's stores, and escaped in a waiting canoe. No crew injuries and incident reported to port authorities. (IMB)",keep,exclude,
603,603,2012-263,"CAMEROON: LPG tanker boarded on 8 September at 04-03N 009-41E, Douala Port Facility. The ship was boarded while the shore security watch was on a break. The robbers took the deck cadet hostage, and stole ship's stores. Before escaping, they released the cadet who immediately raised the alarm. Incident reported to port control. A police team boarded to investigate the incident.",keep,exclude,
605,605,2012-265,"HAITI: Cargo ship was boarded on 21 September at 18-09N 072-01W, Port-Au-Prince. The anchored vessel was boarded by three armed robbers carrying machetes. A watchman conducting routine rounds discovered the robbers on the forecastle. The robbers attacked the watchman and injured him. The Deck Officer raised the alarm and mustered the crew. Upon hearing the alarm and seeing the crew's alertness, the robbers escaped with the stolen stores. Port authority personnel were informed and the Coast Guard arrived at the location three hours later.",exclude,keep,
615,615,2013-117,"VIETNAM: On 02 April, the cargo ship WEHR BLANKENESE was boarded in the vicinity of 10-45N 106-42E, at the Ho Chi Minh City Port. Robber's boarded the vessel, broke the padlock to the paint store, and stole 14 drums of paint.",keep,exclude,
622,622,2013-306,"DOMINICAN REPUBLIC: On 20 October, a moored LPG tanker was boarded by two robbers at position 18-24N  070-01W, Rio Haina Refidomsa. Alert duty crew noticed the robbers lowering the rescue boat engine to a waiting escape boat. Alarm sounded and the robbers immediately left the engine and escaped. The crew retrieved the engine using the line that was being used to lower it away from the ship. Further inspection revealed that several items from the rescue boat were missing. Local agent and mooring master informed.",keep,exclude,
648,648,2012-275,"INDONESIA: During security rounds in the accommodation area, duty watchman noticed an unknown person on the main deck and notified the duty officer, who raised the alarm. Upon hearing the alarm, the robbers escaped in a small timber boat. The crew was mustered and conducted a search of the vessel. Upon investigation it was found that the vessel's properties were stolen.",exclude,keep,
657,657,2013-122,"INDONESIA: On 30 April, a berthed cargo ship KOHINOOR was boarded at 03-47N  098-42E, at the Belawan Port. Robbers boarded a berthed general cargo ship while crews were involved with customs and immigration and getting the ship ready to discharge. Duty AB noticed the robbers at the poop deck and immediately report to the DO who raised alarm. On seeing alerted crew the robbers escaped with stolen ship stores.",exclude,keep,
658,658,2013-123,"INDONESIA: On 27 April, the berthed tanker FAIRCHEM MAVERICK was boarded in the vicinity of 03-47N 098-42E, at the Belawan Port. Two robbers in a boat approached and boarded the berthed tanker and broke into the tank cleaning gear locker and stole the ship's property. Duty crew noticed the robbers, raised the alarm and ran towards the robbers. On hearing the alarm, the robbers jumped overboard and escaped with the stolen items in their boat. Incident reported to the local agents.",exclude,keep,
697,697,2015-255,"INDONESIA: On 20 November, three persons in a wooden boat attempted to board a barge being towed by a tug near position 01-10N 103-40E, 2.1 nm north-northeast of Nipah Island. The Master raised the general alarm and made a PA announcement. All crew gathered on the forecastle deck. Nothing was reported stolen. Singapore authorities were informed.",exclude,keep,
701,701,2015-259,"INDONESIA: On 8 December at 1355 LT in the Belawan Anchorage near position 03-57N 098-47E, the duty watchman on routine rounds onboard an anchored chemical tanker noticed a person on the main deck. The watchman notified the watch officer who in turn raised the alarm and mustered the crew. The person escaped empty handed in a wooden motor boat along with his 3 accomplices. The incident was reported to the Port Authorities.",keep,exclude,
705,705,2016-214,"PAPUA NEW GUINEA: On 10 September, eight robbers boarded a boat and stole personal property in the vicinity of Madang, 05-02S 145-56E. Several of the passengers jumped overboard and swam ashore to Pig Island where they alerted police. Local authorities were able to locate and arrest 3 suspects.",exclude,keep,
712,712,2016-221,"INDONESIA: On 16 September, the chief engineer conducting routine rounds on a vessel anchored near  position 00-43N 104-10E, Galang, Batam, noticed the spares cabinet and lockers broken into and some items missing. The incident was reported to the authorities who boarded and inspected the vessel.",exclude,keep,
